project_id,mp_name,state,constituency,work_category,implementing_agency,cost_estimate,sanctioned_amount,actual_expenditure,payment_count,start_date,expected_completion,actual_completion,status,has_tender_on_file,has_mp_recommendation,is_anomaly,anomaly_type,cost_deviation_ratio,expenditure_utilization,delay_days,district_cost_zscore
MPLADS-00015,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,"Railways, Roads, Pathways & Bridges",District PWD,1364000,1485000,369500,0,17-10-2024,18-03-2025,,In Progress,TRUE,TRUE,FALSE,,1.09,0.25,75,0.05
MPLADS-00016,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Other Public Facilities,District PWD,790000,774000,0,0,23-08-2023,21-12-2023,,Not Started,TRUE,TRUE,FALSE,,0.98,0,528,0.52
MPLADS-00017,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Education,Zila Parishad,758000,845000,42200,0,05-08-2023,04-11-2023,,Stalled,TRUE,TRUE,FALSE,,1.11,0.05,575,1.49
MPLADS-00018,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,"Railways, Roads, Pathways & Bridges",Zila Parishad,557000,633000,394200,2,02-11-2024,29-04-2025,,In Progress,TRUE,TRUE,FALSE,,1.14,0.62,33,-0.13
MPLADS-00019,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Other Public Facilities,Cooperative Society,568000,649000,489400,2,29-09-2023,17-09-2024,17-09-2024,Completed,TRUE,TRUE,FALSE,,1.14,0.75,0,-0.09
MPLADS-00020,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,"Railways, Roads, Pathways & Bridges",Zila Parishad,671000,688000,583900,4,21-08-2024,03-12-2024,05-12-2024,Completed,TRUE,TRUE,FALSE,,1.03,0.85,2,0.05
MPLADS-00021,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,"Railways, Roads, Pathways & Bridges",Zila Parishad,477000,488000,334800,2,05-06-2024,01-06-2025,,In Progress,TRUE,TRUE,FALSE,,1.02,0.69,0,-0.61
MPLADS-00022,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,"Railways, Roads, Pathways & Bridges",Gram Panchayat,720000,714000,565900,2,04-10-2024,24-06-2025,24-07-2025,Completed,TRUE,TRUE,FALSE,,0.99,0.79,30,0.14
MPLADS-00023,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,"Railways, Roads, Pathways & Bridges",State Rural Dev Agency,765000,750000,439500,2,26-01-2024,15-06-2024,,In Progress,TRUE,TRUE,FALSE,,0.98,0.59,351,0.26
MPLADS-00024,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,"Railways, Roads, Pathways & Bridges",Municipal Corporation,630000,603000,298800,1,12-01-2023,06-10-2023,,In Progress,TRUE,TRUE,FALSE,,0.96,0.5,604,-0.23
MPLADS-00025,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,Others,District PWD,814000,785000,720800,2,18-10-2024,16-07-2025,30-08-2025,Completed,TRUE,TRUE,FALSE,,0.96,0.92,45,0.94
MPLADS-00026,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,"Railways, Roads, Pathways & Bridges",District PWD,823000,926000,509300,1,27-09-2023,17-06-2024,,Stalled,TRUE,TRUE,TRUE,duplicate_work,1.13,0.55,349,0.91
MPLADS-00027,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,Education,Zila Parishad,748000,841000,686300,2,02-10-2024,31-08-2025,12-10-2025,Completed,TRUE,TRUE,FALSE,,1.12,0.82,42,1.12
MPLADS-00028,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,Others,State Rural Dev Agency,697000,629000,0,0,18-01-2024,14-05-2024,,Not Started,TRUE,TRUE,FALSE,,0.9,0,383,-0.23
MPLADS-00029,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,"Railways, Roads, Pathways & Bridges",Municipal Corporation,503000,522000,332400,2,01-01-2023,08-10-2023,,In Progress,TRUE,TRUE,FALSE,,1.04,0.64,602,-0.61
MPLADS-00030,Abu Taher Khan,West Bengal,MURSHIDABAD,"Railways, Roads, Pathways & Bridges",District PWD,593000,573000,512200,3,11-11-2023,16-04-2024,12-06-2024,Completed,TRUE,TRUE,FALSE,,0.97,0.89,57,-0.42
MPLADS-00031,Abu Taher Khan,West Bengal,MURSHIDABAD,Other Public Facilities,State Rural Dev Agency,652000,681000,385500,1,29-03-2023,09-11-2023,,In Progress,TRUE,TRUE,FALSE,,1.04,0.57,570,0.08
MPLADS-00032,Abu Taher Khan,West Bengal,MURSHIDABAD,Other Public Facilities,Municipal Corporation,555000,503000,421900,1,09-05-2023,31-01-2024,26-01-2024,Completed,TRUE,TRUE,FALSE,,0.91,0.84,-5,-0.62
MPLADS-00033,Abu Taher Khan,West Bengal,MURSHIDABAD,Others,State Rural Dev Agency,619000,707000,0,0,24-06-2024,13-06-2025,,Not Started,TRUE,TRUE,FALSE,,1.14,0,0,0.36
MPLADS-00034,Abu Taher Khan,West Bengal,MURSHIDABAD,"Railways, Roads, Pathways & Bridges",Cooperative Society,601000,669000,592500,3,07-12-2024,02-06-2025,27-05-2025,Completed,TRUE,TRUE,FALSE,,1.11,0.89,-6,-0.06
MPLADS-00035,Abu Taher Khan,West Bengal,MURSHIDABAD,Others,Zila Parishad,735000,766000,691600,3,18-01-2024,13-05-2024,11-06-2024,Completed,TRUE,TRUE,FALSE,,1.04,0.9,29,0.8
MPLADS-00036,Abu Taher Khan,West Bengal,MURSHIDABAD,Other Public Facilities,Zila Parishad,738000,731000,224100,3,07-03-2023,20-07-2022,07-10-2023,Stalled,TRUE,TRUE,TRUE,delayed_stalled,0.99,0.31,444,0.27
MPLADS-00037,Abu Taher Khan,West Bengal,MURSHIDABAD,Other Public Facilities,District PWD,830000,853000,781800,4,08-01-2023,23-08-2023,05-10-2023,Completed,TRUE,TRUE,FALSE,,1.03,0.92,43,0.75
MPLADS-00038,ADHIKARI SOUMENDU,West Bengal,KANTHI,Drinking Water Facility,Zila Parishad,669000,650000,584600,1,05-12-2023,13-08-2024,27-07-2024,Completed,TRUE,FALSE,TRUE,no_mp_recommendation,0.97,0.9,-17,-0.17
MPLADS-00039,ADHIKARI SOUMENDU,West Bengal,KANTHI,Other Public Facilities,Gram Panchayat,590000,550000,510500,4,06-07-2024,24-02-2025,06-04-2025,Not Started,TRUE,TRUE,TRUE,ghost_project,0.93,0.93,41,-0.43
MPLADS-00040,ADHIKARI SOUMENDU,West Bengal,KANTHI,"Railways, Roads, Pathways & Bridges",District PWD,664000,687000,0,0,06-09-2023,28-05-2024,,Not Started,TRUE,TRUE,FALSE,,1.03,0,369,0.01
MPLADS-00041,ADHIKARI SOUMENDU,West Bengal,KANTHI,Others,Cooperative Society,658000,645000,507300,2,05-11-2024,09-09-2025,10-09-2025,Completed,TRUE,TRUE,FALSE,,0.98,0.79,1,-0.11
MPLADS-00042,ADHIKARI SOUMENDU,West Bengal,KANTHI,"Railways, Roads, Pathways & Bridges",Gram Panchayat,445000,508000,247000,1,25-02-2023,10-01-2024,,In Progress,TRUE,TRUE,FALSE,,1.14,0.49,508,-0.66
MPLADS-00043,ADITYA YADAV,Uttar Pradesh,BADAUN,Other Public Facilities,State Rural Dev Agency,372000,374000,0,0,14-12-2023,20-05-2024,,Not Started,TRUE,TRUE,FALSE,,1.01,0,377,-0.07
MPLADS-00044,ADITYA YADAV,Uttar Pradesh,BADAUN,Other Public Facilities,District PWD,234000,217000,202500,4,04-04-2024,15-07-2024,29-06-2024,Completed,TRUE,TRUE,FALSE,,0.93,0.93,-16,-0.97
MPLADS-00045,ADITYA YADAV,Uttar Pradesh,BADAUN,Other Public Facilities,Cooperative Society,341000,1121000,1086400,0,29-03-2024,09-11-2024,,Not Started,TRUE,TRUE,TRUE,cost_overrun,3.29,0.97,204,4.23
MPLADS-00046,ADITYA YADAV,Uttar Pradesh,BADAUN,"Railways, Roads, Pathways & Bridges",Zila Parishad,331000,331000,0,0,07-07-2024,23-03-2025,,Not Started,TRUE,TRUE,FALSE,,1,0,70,-0.26
MPLADS-00047,ADITYA YADAV,Uttar Pradesh,BADAUN,"Railways, Roads, Pathways & Bridges",District PWD,318000,336000,269100,1,20-06-2023,03-02-2024,22-03-2024,Completed,TRUE,TRUE,FALSE,,1.06,0.8,48,-0.22
MPLADS-00048,ADITYA YADAV,Uttar Pradesh,BADAUN,Other Public Facilities,Gram Panchayat,237000,248000,216500,2,18-06-2023,31-05-2024,26-06-2024,Completed,TRUE,TRUE,FALSE,,1.05,0.87,26,-0.79
MPLADS-00049,ADITYA YADAV,Uttar Pradesh,BADAUN,Other Public Facilities,State Rural Dev Agency,337000,349000,301600,1,20-10-2023,02-10-2024,12-10-2024,Completed,TRUE,TRUE,FALSE,,1.04,0.86,10,-0.21
MPLADS-00050,Adv Adoor Prakash,Kerala,ATTINGAL,"Railways, Roads, Pathways & Bridges",District PWD,812000,858000,481000,2,08-11-2024,05-10-2025,,In Progress,TRUE,TRUE,FALSE,,1.06,0.56,0,0.72
MPLADS-00051,Adv Adoor Prakash,Kerala,ATTINGAL,Other Public Facilities,District PWD,614000,580000,223800,1,16-08-2024,08-06-2025,,In Progress,TRUE,TRUE,FALSE,,0.94,0.39,0,-0.5
MPLADS-00052,Adv Adoor Prakash,Kerala,ATTINGAL,Education,District PWD,924000,1030000,485000,2,21-08-2024,16-03-2025,,In Progress,TRUE,TRUE,FALSE,,1.11,0.47,77,1.37
MPLADS-00053,Adv Adoor Prakash,Kerala,ATTINGAL,Other Public Facilities,Cooperative Society,528000,594000,525200,2,04-06-2024,18-01-2025,05-03-2025,Completed,TRUE,TRUE,FALSE,,1.12,0.88,46,-0.47
MPLADS-00054,Adv Dean Kuriakose,Kerala,IDUKKI,Education,State Rural Dev Agency,933000,1061000,885400,2,29-08-2023,02-05-2024,01-06-2024,Completed,TRUE,TRUE,FALSE,,1.14,0.83,30,1.56
MPLADS-00055,Adv Dean Kuriakose,Kerala,IDUKKI,"Railways, Roads, Pathways & Bridges",State Rural Dev Agency,636000,679000,553400,2,31-08-2024,23-06-2025,05-08-2025,Completed,TRUE,TRUE,FALSE,,1.07,0.82,43,-0.43
MPLADS-00056,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),Other Public Facilities,Municipal Corporation,618000,572000,485900,1,19-06-2024,10-10-2024,15-11-2024,Completed,TRUE,TRUE,FALSE,,0.93,0.85,36,-0.16
MPLADS-00057,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),Other Public Facilities,Gram Panchayat,651000,599000,465800,3,02-09-2023,24-12-2023,20-02-2024,Completed,TRUE,TRUE,FALSE,,0.92,0.78,58,-0.05
MPLADS-00058,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),Others,State Rural Dev Agency,758000,825000,92200,0,20-11-2023,31-05-2024,,Stalled,TRUE,FALSE,FALSE,,1.09,0.11,366,1.3
MPLADS-00059,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),Other Public Facilities,Municipal Corporation,595000,599000,150100,0,30-07-2024,04-07-2025,,Stalled,TRUE,TRUE,FALSE,,1.01,0.25,0,-0.05
MPLADS-00060,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,Other Public Facilities,Municipal Corporation,836000,3257000,2949400,0,16-05-2023,04-05-2024,,Stalled,TRUE,TRUE,TRUE,cost_overrun,3.9,0.91,393,5.1
MPLADS-00061,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,"Railways, Roads, Pathways & Bridges",State Rural Dev Agency,894000,855000,729700,4,19-10-2023,07-10-2024,18-09-2024,Completed,TRUE,FALSE,TRUE,no_mp_recommendation,0.96,0.85,-19,0.7
MPLADS-00062,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,"Railways, Roads, Pathways & Bridges",Cooperative Society,744000,850000,681300,3,31-10-2024,21-06-2025,,In Progress,TRUE,TRUE,FALSE,,1.14,0.8,0,0.67
MPLADS-00063,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,Others,District PWD,437000,443000,91300,0,17-04-2023,02-01-2024,,Stalled,TRUE,TRUE,FALSE,,1.01,0.21,516,1.08
MPLADS-00064,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,Education,Municipal Corporation,366000,337000,276400,3,20-07-2024,12-07-2025,08-09-2025,Completed,TRUE,TRUE,FALSE,,0.92,0.82,58,-0.28
MPLADS-00065,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,Sanitation & Public Health,Municipal Corporation,303000,334000,230900,2,28-07-2023,01-05-2024,,In Progress,TRUE,TRUE,FALSE,,1.1,0.69,396,-0.4
MPLADS-00066,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,Others,District PWD,431000,393000,363100,4,22-02-2023,30-05-2023,09-06-2023,Completed,TRUE,TRUE,FALSE,,0.91,0.92,10,0.44
MPLADS-00067,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,Others,Cooperative Society,266000,279000,0,0,08-12-2023,19-06-2024,,Not Started,TRUE,TRUE,FALSE,,1.05,0,347,-1.01
MPLADS-00068,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,Other Public Facilities,District PWD,425000,432000,243500,2,28-03-2024,18-10-2024,,In Progress,TRUE,FALSE,FALSE,,1.02,0.56,226,0.26
MPLADS-00069,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,"Railways, Roads, Pathways & Bridges",State Rural Dev Agency,1617000,1705000,456800,0,08-12-2024,14-06-2025,,Stalled,TRUE,TRUE,FALSE,,1.05,0.27,0,0.4
MPLADS-00070,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Other Public Facilities,District PWD,1470000,1607000,1531500,4,19-07-2024,09-03-2025,26-04-2025,Completed,TRUE,TRUE,FALSE,,1.09,0.95,48,-0.29
MPLADS-00071,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Education,State Rural Dev Agency,1097000,995000,933100,3,02-01-2024,25-10-2024,23-11-2024,Completed,TRUE,FALSE,TRUE,no_mp_recommendation,0.91,0.94,29,-1.1
MPLADS-00072,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,"Railways, Roads, Pathways & Bridges",Zila Parishad,1099000,993000,99700,0,21-02-2024,25-08-2024,,Stalled,TRUE,TRUE,FALSE,,0.9,0.1,280,-0.75
MPLADS-00073,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Others,District PWD,1304000,1341000,560400,1,16-06-2023,16-04-2024,,Stalled,TRUE,TRUE,FALSE,,1.03,0.42,411,-0.53
MPLADS-00074,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Other Public Facilities,Cooperative Society,1801000,2048000,1115600,1,03-07-2023,10-11-2023,,In Progress,TRUE,TRUE,FALSE,,1.14,0.54,569,-0.03
MPLADS-00075,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Drinking Water Facility,District PWD,1915000,1959000,1743200,2,12-09-2023,10-03-2024,09-04-2024,Completed,TRUE,TRUE,FALSE,,1.02,0.89,30,0.77
MPLADS-00076,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,"Railways, Roads, Pathways & Bridges",Municipal Corporation,1092000,1018000,809200,2,26-04-2024,04-09-2024,27-08-2024,Completed,TRUE,TRUE,FALSE,,0.93,0.79,-8,-0.71
MPLADS-00077,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Others,Municipal Corporation,1425000,1520000,1329100,1,22-08-2023,06-01-2024,02-01-2024,Completed,TRUE,TRUE,FALSE,,1.07,0.87,-4,0.33
MPLADS-00078,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,"Railways, Roads, Pathways & Bridges",Gram Panchayat,1236000,1167000,306700,0,13-03-2023,05-07-2023,,Stalled,TRUE,TRUE,FALSE,,0.94,0.26,697,-0.47
MPLADS-00079,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Education,District PWD,1454000,1560000,265100,0,26-11-2024,06-03-2025,,Stalled,TRUE,TRUE,FALSE,,1.07,0.17,87,0.85
MPLADS-00080,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Other Public Facilities,District PWD,325000,307000,297400,3,25-09-2023,19-02-2024,28-02-2024,Completed,TRUE,TRUE,FALSE,,0.94,0.97,9,-0.09
MPLADS-00081,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Drinking Water Facility,State Rural Dev Agency,325000,295000,246200,3,02-09-2024,08-02-2025,17-03-2025,Completed,TRUE,TRUE,FALSE,,0.91,0.83,37,0.71
MPLADS-00082,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Drinking Water Facility,District PWD,285000,264000,213700,2,07-06-2024,06-01-2025,28-01-2025,Completed,TRUE,TRUE,FALSE,,0.93,0.81,22,-0.71
MPLADS-00083,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,"Railways, Roads, Pathways & Bridges",Cooperative Society,246000,234000,188300,3,26-12-2024,24-06-2025,14-06-2025,Completed,TRUE,TRUE,FALSE,,0.95,0.8,-10,-1.32
MPLADS-00084,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Other Public Facilities,Municipal Corporation,312000,342000,331300,4,17-11-2024,02-07-2025,19-06-2025,Completed,TRUE,TRUE,FALSE,,1.1,0.97,-13,0.67
MPLADS-00085,Ajay Kumar Mandal,Bihar,BHAGALPUR,Education,Municipal Corporation,828000,871000,784500,2,30-09-2024,04-03-2025,21-02-2025,Completed,TRUE,TRUE,FALSE,,1.05,0.9,-11,1.69
MPLADS-00086,Ajay Kumar Mandal,Bihar,BHAGALPUR,"Railways, Roads, Pathways & Bridges",Municipal Corporation,484000,458000,332000,3,03-06-2024,18-11-2024,12-11-2024,Completed,TRUE,TRUE,FALSE,,0.95,0.72,-6,-0.71
MPLADS-00087,Ajay Kumar Mandal,Bihar,BHAGALPUR,"Railways, Roads, Pathways & Bridges",Cooperative Society,583000,666000,588900,2,21-07-2024,14-06-2025,29-07-2025,Completed,TRUE,TRUE,FALSE,,1.14,0.88,45,-0.02
MPLADS-00088,Ajay Kumar Mandal,Bihar,BHAGALPUR,"Railways, Roads, Pathways & Bridges",District PWD,695000,787000,252300,1,28-06-2023,26-02-2024,,In Progress,TRUE,TRUE,FALSE,,1.13,0.32,461,0.38
MPLADS-00089,Ajay Kumar Mandal,Bihar,BHAGALPUR,"Railways, Roads, Pathways & Bridges",Cooperative Society,552000,556000,487700,2,08-11-2023,24-06-2024,24-06-2024,Completed,TRUE,TRUE,FALSE,,1.01,0.88,0,-0.38
MPLADS-00090,Ajay Tamta,Uttarakhand,ALMORA(SC),Education,Gram Panchayat,211000,193000,95300,1,26-11-2023,22-11-2024,,In Progress,TRUE,TRUE,FALSE,,0.91,0.49,191,-0.55
MPLADS-00091,Ajay Tamta,Uttarakhand,ALMORA(SC),Other Public Facilities,State Rural Dev Agency,327000,343000,88000,0,23-06-2023,28-01-2024,,In Progress,TRUE,TRUE,FALSE,,1.05,0.26,490,0.69
MPLADS-00092,Ajay Tamta,Uttarakhand,ALMORA(SC),Education,Municipal Corporation,359000,1360000,1287600,2,10-12-2023,29-11-2024,19-11-2024,Completed,TRUE,TRUE,TRUE,cost_overrun,3.79,0.95,-10,1.5
MPLADS-00093,Ajay Tamta,Uttarakhand,ALMORA(SC),"Railways, Roads, Pathways & Bridges",Gram Panchayat,324000,338000,0,0,19-08-2023,05-07-2024,,Not Started,TRUE,TRUE,FALSE,,1.04,0,331,0.44
MPLADS-00094,Ajay Tamta,Uttarakhand,ALMORA(SC),Other Public Facilities,Cooperative Society,223000,210000,0,0,17-09-2024,30-01-2025,,Not Started,TRUE,TRUE,FALSE,,0.94,0,122,-2.19
MPLADS-00095,Ajay Tamta,Uttarakhand,ALMORA(SC),Other Public Facilities,Zila Parishad,283000,280000,239300,3,12-08-2024,09-07-2025,20-07-2025,Completed,TRUE,TRUE,FALSE,,0.99,0.85,11,-0.67
MPLADS-00096,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,Others,District PWD,320000,331000,148000,2,01-06-2023,05-05-2024,,In Progress,FALSE,TRUE,FALSE,,1.03,0.45,392,-0.35
MPLADS-00097,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,Other Public Facilities,Gram Panchayat,308000,288000,248900,3,11-03-2024,13-01-2025,11-02-2025,Completed,TRUE,TRUE,FALSE,,0.94,0.86,29,-0.56
MPLADS-00098,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,Others,Zila Parishad,413000,387000,272700,1,21-02-2023,15-08-2023,,In Progress,TRUE,TRUE,FALSE,,0.94,0.7,656,0.37
MPLADS-00099,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,Other Public Facilities,Gram Panchayat,407000,456000,205900,2,20-04-2024,21-10-2024,,In Progress,TRUE,TRUE,FALSE,,1.12,0.45,223,0.4
MPLADS-00100,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,"Railways, Roads, Pathways & Bridges",State Rural Dev Agency,427000,398000,0,0,19-09-2024,06-04-2025,,Not Started,TRUE,TRUE,FALSE,,0.93,0,56,0.27
MPLADS-00101,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,"Railways, Roads, Pathways & Bridges",Municipal Corporation,284000,307000,0,0,01-04-2024,14-01-2025,,Not Started,TRUE,TRUE,FALSE,,1.08,0,138,-0.45
MPLADS-00102,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,Drinking Water Facility,Gram Panchayat,450000,422000,0,0,11-09-2023,19-05-2024,,Not Started,TRUE,TRUE,FALSE,,0.94,0,378,0.28
MPLADS-00103,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,Other Public Facilities,Zila Parishad,235000,263000,229900,3,03-10-2024,14-09-2025,09-10-2025,Completed,TRUE,TRUE,FALSE,,1.12,0.87,25,-0.71
MPLADS-00104,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,"Railways, Roads, Pathways & Bridges",Zila Parishad,364000,383000,329800,4,06-10-2023,29-04-2024,06-06-2024,Completed,TRUE,TRUE,FALSE,,1.05,0.86,38,0.15
MPLADS-00105,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,Others,Gram Panchayat,335000,311000,265200,3,25-08-2023,19-08-2024,05-10-2024,Completed,TRUE,TRUE,FALSE,,0.93,0.85,47,-0.6
MPLADS-00106,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,Education,Gram Panchayat,244000,240000,217100,2,22-02-2024,28-12-2024,09-12-2024,Completed,TRUE,TRUE,FALSE,,0.98,0.9,-19,-0.76
MPLADS-00107,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,Education,State Rural Dev Agency,355000,401000,167200,1,03-02-2024,06-08-2024,,Stalled,TRUE,TRUE,FALSE,,1.13,0.42,299,0.03
MPLADS-00108,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,"Railways, Roads, Pathways & Bridges",Gram Panchayat,336000,314000,143600,1,25-01-2024,11-06-2024,,In Progress,TRUE,TRUE,FALSE,,0.93,0.46,355,-0.39
MPLADS-00109,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,Other Public Facilities,Zila Parishad,272000,310000,142600,2,05-03-2024,13-07-2024,,In Progress,TRUE,TRUE,FALSE,,1.14,0.46,323,-0.44
MPLADS-00110,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,Drinking Water Facility,Municipal Corporation,369000,338000,284500,3,14-05-2024,06-03-2025,03-03-2025,Completed,TRUE,FALSE,FALSE,,0.92,0.84,-3,-0.23
